2023/06/13 11:26:10.190,2.053538,,,,Timestamp
2023/06/13 11:26:11.000,2.053538,,,,1686648371
2023/06/13 11:26:12.000,2.053538,,,,1686648372
2023/06/13 11:26:13.000,2.053538,,,,1686648373
2023/06/13 11:26:14.000,2.053538,,,,1686648374
2023/06/13 11:26:15.000,2.053538,,,,1686648375
2023/06/13 11:26:16.000,2.053538,,,,1686648376
2023/06/13 11:26:17.000,2.053538,,,,1686648377
2023/06/13 11:26:18.000,2.053538,,,,1686648378
2023/06/13 11:26:19.000,2.053538,,,,1686648379
2023/06/13 11:26:20.000,2.053538,,,,1686648380
2023/06/13 11:26:21.000,2.053538,,,,1686648381
2023/06/13 11:26:22.000,2.053538,,,,1686648382
2023/06/13 11:26:23.000,2.053538,,,,1686648383
2023/06/13 11:26:24.000,2.053538,,,,1686648384
2023/06/13 11:26:25.000,2.053538,,,,1686648385
2023/06/13 11:26:26.000,2.053538,,,,1686648386
2023/06/13 11:26:27.000,2.053538,,,,1686648387
2023/06/13 11:26:28.000,2.053538,,,,1686648388
2023/06/13 11:26:29.000,2.053538,,,,1686648389
2023/06/13 11:26:30.000,2.053538,,,,1686648390
2023/06/13 11:26:31.000,2.053537,,,,1686648391
2023/06/13 11:26:32.000,2.053537,,,,1686648392
2023/06/13 11:26:33.000,2.053537,,,,1686648393
2023/06/13 11:26:34.000,2.053537,,,,1686648394
2023/06/13 11:26:35.000,2.053537,,,,1686648395
2023/06/13 11:26:36.000,2.053537,,,,1686648396
2023/06/13 11:26:37.000,2.053537,,,,1686648397
2023/06/13 11:26:38.000,2.053537,,,,1686648398
2023/06/13 11:26:39.000,2.053537,,,,1686648399
2023/06/13 11:26:40.000,2.053537,,,,1686648400
2023/06/13 11:26:41.000,2.053537,,,,1686648401
2023/06/13 11:26:42.000,2.053537,,,,1686648402
2023/06/13 11:26:43.000,2.053537,,,,1686648403
2023/06/13 11:26:44.000,2.053537,,,,1686648404
2023/06/13 11:26:45.000,2.053537,,,,1686648405
2023/06/13 11:26:46.000,2.053537,,,,1686648406
2023/06/13 11:26:47.000,2.053537,,,,1686648407
2023/06/13 11:26:48.000,2.053537,,,,1686648408
2023/06/13 11:26:49.000,2.053537,,,,1686648409
2023/06/13 11:26:50.000,2.053537,,,,1686648410
2023/06/13 11:26:51.000,2.053537,,,,1686648411
2023/06/13 11:26:52.000,2.053537,,,,1686648412
2023/06/13 11:26:53.000,2.053536,,,,1686648413
2023/06/13 11:26:54.000,2.053536,,,,1686648414
2023/06/13 11:26:55.000,2.053536,,,,1686648415
2023/06/13 11:26:56.000,2.053536,,,,1686648416
2023/06/13 11:26:57.000,2.053536,,,,1686648417
2023/06/13 11:26:58.000,2.053536,,,,1686648418
2023/06/13 11:26:59.000,2.053536,,,,1686648419
2023/06/13 11:27:00.000,2.053536,,,,1686648420
2023/06/13 11:27:01.000,2.053536,,,,1686648421
2023/06/13 11:27:02.000,2.053536,,,,1686648422
2023/06/13 11:27:03.000,2.053536,,,,1686648423
2023/06/13 11:27:04.000,2.053536,,,,1686648424
2023/06/13 11:27:05.000,2.053536,,,,1686648425
2023/06/13 11:27:06.000,2.053536,,,,1686648426
2023/06/13 11:27:07.000,2.053536,,,,1686648427
2023/06/13 11:27:08.000,2.053536,,,,1686648428
2023/06/13 11:27:09.000,2.053536,,,,1686648429
2023/06/13 11:27:10.000,2.053536,,,,1686648430
2023/06/13 11:27:11.000,2.053535,,,,1686648431
2023/06/13 11:27:12.000,2.053535,,,,1686648432
2023/06/13 11:27:13.000,2.053535,,,,1686648433
2023/06/13 11:27:14.000,2.053535,,,,1686648434
2023/06/13 11:27:15.000,2.053535,,,,1686648435
2023/06/13 11:27:16.000,2.053535,,,,1686648436
2023/06/13 11:27:17.000,2.053535,,,,1686648437
2023/06/13 11:27:18.000,2.053535,,,,1686648438
2023/06/13 11:27:19.000,2.053535,,,,1686648439
2023/06/13 11:27:20.000,2.053535,,,,1686648440
2023/06/13 11:27:21.000,2.053535,,,,1686648441
2023/06/13 11:27:22.000,2.053535,,,,1686648442
2023/06/13 11:27:23.000,2.053535,,,,1686648443
2023/06/13 11:27:24.000,2.053535,,,,1686648444
2023/06/13 11:27:25.000,2.053535,,,,1686648445
2023/06/13 11:27:26.000,2.053535,,,,1686648446
2023/06/13 11:27:27.000,2.053535,,,,1686648447
2023/06/13 11:27:28.000,2.053534,,,,1686648448
2023/06/13 11:27:29.000,2.053534,,,,1686648449
2023/06/13 11:27:30.000,2.053534,,,,1686648450
2023/06/13 11:27:31.000,2.053534,,,,1686648451
2023/06/13 11:27:32.000,2.053534,,,,1686648452
2023/06/13 11:27:33.000,2.053534,,,,1686648453
2023/06/13 11:27:34.000,2.053534,,,,1686648454
2023/06/13 11:27:35.000,2.053534,,,,1686648455
2023/06/13 11:27:36.000,2.053534,,,,1686648456
2023/06/13 11:27:37.000,2.053534,,,,1686648457
2023/06/13 11:27:38.000,2.053534,,,,1686648458
2023/06/13 11:27:39.000,2.053534,,,,1686648459
2023/06/13 11:27:40.000,2.053534,,,,1686648460
2023/06/13 11:27:41.000,2.053534,,,,1686648461
2023/06/13 11:27:42.000,2.053534,,,,1686648462
2023/06/13 11:27:43.000,2.053533,,,,1686648463
2023/06/13 11:27:44.000,2.053533,,,,1686648464
2023/06/13 11:27:45.000,2.053533,,,,1686648465
2023/06/13 11:27:46.000,2.053533,,,,1686648466
2023/06/13 11:27:47.000,2.053533,,,,1686648467
2023/06/13 11:27:48.000,2.053533,,,,1686648468
